file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,130,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,131,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,132,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,23
style.css,133,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,16
style.css,134,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,18
style.css,135,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,136,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,137,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,3
style.css,138,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,14
style.css,139,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,20
style.css,140,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,141,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,142,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,3
style.css,143,css,7ad9faee,KevinMyo,2025-01-23,15:16:53,-08:00,2025-01-23T15:16:53-08:00,0,16
style.css,144,css,2a59917a,KevinMyo,2025-01-17,18:44:12,-08:00,2025-01-17T18:44:12-08:00,0,0
style.css,145,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,4
style.css,146,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,40
style.css,147,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,40
style.css,148,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,0
style.css,149,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,12
style.css,150,css,696e4d7a,KevinMyo,2025-01-23,17:52:26,-08:00,2025-01-23T17:52:26-08:00,0,70
